"ID","REF","Subject","Illustrator","Copyright","FileName","Note"
"bk00059","EXO 10, DEU 28.38, JOL 1.4, MAT 3.4, MRK 1.6","Locusts with semi-eaten leaves","Horace Knowles revised by Louise Bass","The British & Foreign Bible Society 1994","bk00059.png","Picture missing"
"bk00062","LUK 22.34, JHN 12.37, MAT 26.34, MAT 26.75, MRK 14.30, MRK 14.72, LUK 22.60-62, JHN 18.27","Cock crowing","Horace Knowles revised by Louise Bass","The British & Foreign Bible Society 1994","bk00062.png",
"bk00066","GEN 15.9, LEV 1.14, LUK 2.24","Doves on branch","Horace Knowles revised by Louise Bass","The British & Foreign Bible Society 1994","bk00066.png",
"bk00067","GEN 15.9, LEV 1.14, LEV 12, LEV 14, NUM 6.10, LUK 2.24","Doves on wall","Horace Knowles revised by Louise Bass","The British & Foreign Bible Society 1994","bk00067.png",
"bk00069","ISA 13.21, ISA 34.11-15, JER 9.11","Owl on ruins ","Horace Knowles revised by Louise Bass","The British & Foreign Bible Society 1994","bk00069.png",
"bk00073","DEU 14, MAT 23.38, LUK 13.35","Vultures on ruins","Horace Knowles revised by Louise Bass","The British & Foreign Bible Society 1994","bk00073.png",
"bk00074","DEU 14","Vultures on rock","Horace Knowles revised by Louise Bass","The British & Foreign Bible Society 1994","bk00074.png",
"bk00090","LEV 14, 2SA 5.11, 2SA 7.2, 2SA 7.7, 1CH 14.1, 1CH 17.1, 1CH 17.6, 1CH 22.4, 2CH 2-3","Cedar tree","Horace Knowles revised by Louise Bass","The British & Foreign Bible Society 1994","bk00090.png",
"bk00116","SNG 3.6, SNG 4.14, MAT 2.11","Frankincense branch, censer, and incense altar ","Horace Knowles revised by Louise Bass","The British & Foreign Bible Society 1994","bk00116.png",
"bk00119","JHN 19.39, SNG 3.6, SNG 4.6, MAT 2.11, MRK 15.23","Myrrh brush, man tapping myrrh,jars,bowl","Horace Knowles revised by Louise Bass","The British & Foreign Bible Society 1994","bk00119.png",
"bk00154","MAT 5.15, MRK 4.21, LUK 8.16, LUK 11.33, REV 4.5","Seven lamps on stands ","Horace Knowles revised by Louise Bass","The British & Foreign Bible Society 1994","bk00154.png",
"bk00157","1CO 9.24-25, 2TI 4.8","Man wearing wreath ","Horace Knowles revised by Louise Bass","The British & Foreign Bible Society 1994","bk00157.png",
"bk00158","2SA 5.1-5, 2KI 11.12, 1CH 11.1-9, 2CH 23.11, PHP 4.1, 1TH 2.19, 2TI 4.8, JAS 1.12, 1PE 5.4, REV 2.10","King wearing crown ","Horace Knowles revised by Louise Bass","The British & Foreign Bible Society 1994","bk00158.png",
"bk00174"," (no reference) ","Group of musical instruments showing relative sizes","Horace Knowles revised by Louise Bass","The British & Foreign Bible Society 1994","bk00174.png",
"bk00175","1CH 13.8, PSA, DAN 3","Harp, musical instrument","Horace Knowles revised by Louise Bass","The British & Foreign Bible Society 1994","bk00175.png",
"bk00176","1CH 13.8, PSA, DAN 3","Lyre, musical instrument ","Horace Knowles revised by Louise Bass","The British & Foreign Bible Society 1994","bk00176.png",
"bk00177","1KI 1.40, ISA 5.12","Flute, musical instrument","Horace Knowles revised by Louise Bass","The British & Foreign Bible Society 1994","bk00177.png",
"bk00178","1SA 10.5, 1CO 14.7","Double pipes or flutes, musical instrument ","Horace Knowles revised by Louise Bass","The British & Foreign Bible Society 1994","bk00178.png",
"bk00179","LEV 25.9, JOS 6.4-20, 1KI 1.34, 1KI 1.39, 2KI 9.13, 1CH 15.28, 2CH 15.14, PSA 47.5","Rams horn, musical instrument ","Horace Knowles revised by Louise Bass","The British & Foreign Bible Society 1994","bk00179.png",
"bk00180","1CH 13.8,1CH 15.28, 2CH 5.12, 2CH 15.14","Trumpet, musical instrument ","Horace Knowles revised by Louise Bass","The British & Foreign Bible Society 1994","bk00180.png",
"bk00181","1SA 18.6","Sistrum, musical instrument ","Horace Knowles revised by Louise Bass","The British & Foreign Bible Society 1994","bk00181.png",
"bk00182","1SA 18.6","Sistrum, musical instrument ","Horace Knowles revised by Louise Bass","The British & Foreign Bible Society 1994","bk00182.png",
"bk00183","1CH 13.8, 1CH 15.19, 1CH 15.28, 1CH 25.6, EZR, NEH, 1CO 13.1","Cymbals, musical instrument","Horace Knowles revised by Louise Bass","The British & Foreign Bible Society 1994","bk00183.png",
"bk00184","EXO 25, EXO 31.8, EXO 35.13, EXO 37.10-16, EXO 39.36, EXO 40.4, LEV 24.5-9, 1SA 21.1-6, MAT 12.4, MRK 2.26, MRK LUK 1.8","Timbrel or tambourine, musical instrument","Horace Knowles revised by Louise Bass","The British & Foreign Bible Society 1994","bk00184.png",
"bk00278","EXO 25, EXO 31.8, EXO 35.13, EXO 37.10-16, EXO 39.36, EXO 40.4, LEV 24.5-9, 1SA 21.1-6, MAT 12.4, MRK 2.26, MRK LUK 1.8, LUK 6.4, HEB 5, HEB 9.1-2","Interior of tabernacle showing furnishings  ","Horace Knowles revised by Louise Bass","The British & Foreign Bible Society 1994","bk00278.png",
"bk00360","LUK 2.4-20","Town of Bethlehem","Horace Knowles revised by Louise Bass","The British & Foreign Bible Society 1994","bk00360.png",
"bk00361","MAT 2.1-12, LUK 2.4-20","Town of Bethlehem at night ","Horace Knowles revised by Louise Bass","The British & Foreign Bible Society 1994","bk00361.png",
"bk00362","LUK18.35,  LUK 19.1, NUM 13.28, DEU 1.28, DEU 3.5, JOS 6, MAT 20.29, MRK 10.46, HEB 11.30","Walls of Jericho","Horace Knowles revised by Louise Bass","The British & Foreign Bible Society 1994","bk00362.png",
"hk00002","MAT 18.12-14, LUK 15.3-7","One sheep on a rock ledge","Horace Knowles","The British & Foreign Bible Society 1954, 1967, 1972, 1995","hk00002.png",
"hk00003","HEB 13.20","Shepherd sitting on rock with sheep","Horace Knowles","The British & Foreign Bible Society 1954, 1967, 1972, 1995","hk00003.png",
"hk00009","GEN 4.2, 1SA 16.11, PSA 23, PSA 79.13, PSA 100.3, PSA 95.7, EZK 34","Shepherd sitting on rock with sheep","Horace Knowles","The British & Foreign Bible Society 1954, 1967, 1972, 1995","hk00009.png",
"hk00019","1KI 19.19-21, ISA 28.24, MAT 11.29-30, LUK 9.62, LUK 17.7, ACT 15.10, 1CO 9.10, 2CO 6.14, PHP 4.3, 1TI 6.1","Man plowing with yoked oxen","Horace Knowles","The British & Foreign Bible Society 1954, 1967, 1972, 1995","hk00019.png",
"hk00024","JOB 3.8, JOB 41.1","Crocodile, coming up out of the water ","Horace Knowles","The British & Foreign Bible Society 1954, 1967, 1972, 1995","hk00024.png",
"hk00029","JAS 3.3","Horse with bridle (head only)","Horace Knowles","The British & Foreign Bible Society 1954, 1967, 1972, 1995","hk00029.png",
"hk00030"," (no reference) ","Ibex- goat on rock ","Horace Knowles","The British & Foreign Bible Society 1954, 1967, 1972, 1995","hk00030.png",
"hk00031","GEN 49.21, PSA 42, SNG 2.9, SNG 2.17, SNG 8.14","Deer","Horace Knowles","The British & Foreign Bible Society 1954, 1967, 1972, 1995","hk00031.png",
"hk00033","LUK 19.28-40, JHN 12.12-19, GEN 22.3, NUM 22.21, ZEC 9.9, MAT 21.1-11, MRK 11.1-11","Tied donkey","Horace Knowles","The British & Foreign Bible Society 1954, 1967, 1972, 1995","hk00033.png",
"hk00036","LUK 18.25, MAT 19.24, MRK 10.25, OT in General ","Street scene with camels and gate tower","Horace Knowles","The British & Foreign Bible Society 1954, 1967, 1972, 1995","hk00036.png",
"hk00037","GEN 24, GEN 31","Camel caravan in mountains ","Horace Knowles","The British & Foreign Bible Society 1954, 1967, 1972, 1995","hk00037.png",
"hk00038","LUK 18.25, GEN 12.16, EXO 9.3, LEV 11. 4, MAT 19.24, MAT 23.24, MRK 10.25","Man leading loaded camels","Horace Knowles","The British & Foreign Bible Society 1954, 1967, 1972, 1995","hk00038.png",
"hk00041","LUK 18.25, MAT 19.24, MRK 10.25","Loaded camel and merchant going through gate  ","Horace Knowles","The British & Foreign Bible Society 1954, 1967, 1972, 1995","hk00041.png",
"hk00046","GEN 49.9, JDG 14, 1PE 5.8, REV 4.7","Male lion","Horace Knowles","The British & Foreign Bible Society 1954, 1967, 1972, 1995","hk00046.png",
"hk00054","EXO 3.8, 1SA 14.25-30, MAT 3.4, MRK 1.6","Bees ","Horace Knowles","The British & Foreign Bible Society 1954, 1967, 1972, 1995","hk00054.png",
"hk00055","LEV 11.4","Rock-badgers ( coney, rock hyrax )","Horace Knowles","The British & Foreign Bible Society 1954, 1967, 1972, 1995","hk00055.png",
"hk00057"," (no reference) ","Apple blossom branch ","Horace Knowles","The British & Foreign Bible Society 1954, 1967, 1972, 1995","hk00057.png",
"hk00059","EXO 10, DEU 28.38, JOL 1.4, MAT 3.4, MRK 1.6","Locus with semi- eaten leaves ","Horace Knowles","The British & Foreign Bible Society 1954, 1967, 1972, 1995","hk00059.png",
"hk00060","NUM 11.5","Onions,leek,and garlic ","Horace Knowles","The British & Foreign Bible Society 1954, 1967, 1972, 1995","hk00060.png",
"hk00064","GEN 8, PSA 55.6, SNG 2.14, MAT 3.16, MRK 1.10, LUK 3.22","Dove flying","Horace Knowles","The British & Foreign Bible Society 1954, 1967, 1972, 1995","hk00064.png",
"hk00065","EXO 16.13, PSA 105.40","Quail ","Horace Knowles","The British & Foreign Bible Society 1954, 1967, 1972, 1995","hk00065.png",
"hk00070","MAT 10.29-31, LUK 12.6-7","Sparrows","Horace Knowles","The British & Foreign Bible Society 1954, 1967, 1972, 1995","hk00070.png",
"hk00072","GEN 1.20","Birds flying","Horace Knowles","The British & Foreign Bible Society 1954, 1967, 1972, 1995","hk00072.png",
"hk00076","LEV 11.13, DEU 14.12, DEU 32.11","Osprey on rock, another bird in flight ","Horace Knowles","The British & Foreign Bible Society 1954, 1967, 1972, 1995","hk00076.png",
"hk00077","LEV 11.13, DEU 14.12, JOB 9.26, JOB 39.26-30, PSA 103.5","Eagle and pray descending on nest with young","Horace Knowles","The British & Foreign Bible Society 1954, 1967, 1972, 1995","hk00077.png",
"hk00078","LEV 11.16, DEU 14.15","Cuckoo and night hawk ( seagull ) ","Horace Knowles","The British & Foreign Bible Society 1954, 1967, 1972, 1995","hk00078.png",
"hk00079","general","Seagulls flying ","Horace Knowles","The British & Foreign Bible Society 1954, 1967, 1972, 1995","hk00079.png",
"hk00080"," (no reference) ","Peacock ","Horace Knowles","The British & Foreign Bible Society 1954, 1967, 1972, 1995","hk00080.png",
"hk00081","MAT 6.26, MAT 10.29-31, MAT 13.4, MRK 4.4, LUK 8.5, LUK 12.6-7","Birds eating seed","Horace Knowles","The British & Foreign Bible Society 1954, 1967, 1972, 1995","hk00081.png",
"hk00082","LEV 11.19, 14.18","Bates and hoopoe ","Horace Knowles","The British & Foreign Bible Society 1954, 1967, 1972, 1995","hk00082.png",
"hk00083","PRO 26.2, HOS 9.11","Swallows ","Horace Knowles","The British & Foreign Bible Society 1954, 1967, 1972, 1995","hk00083.png",
"hk00084","LEV 11.18","Birds and Gier eagle, stork- like bird","Horace Knowles","The British & Foreign Bible Society 1954, 1967, 1972, 1995","hk00084.png",
"hk00088","GEN 3.7, JER 24","Figs on branch","Horace Knowles","The British & Foreign Bible Society 1954, 1967, 1972, 1995","hk00088.png",
"hk00089","MAT 7.15-20, MAT 12.33-37, LUK 6.46","Pomegranates on branch","Horace Knowles","The British & Foreign Bible Society 1954, 1967, 1972, 1995","hk00089.png",
"hk00093","1KI 10.27, 1CH 27.28, 2CH 1.15, ISA 9.10, AMO 7.14","Sycamore branch ","Horace Knowles","The British & Foreign Bible Society 1954, 1967, 1972, 1995","hk00093.png",
"hk00095","EXO 20.9, MAT 9.37, MRK 4.26-29, LUK 10.2","Farmer with sickle","Horace Knowles","The British & Foreign Bible Society 1954, 1967, 1972, 1995","hk00095.png",
"hk00096","2SA 24.22, ISA 31.15, 1CO 9.10, 1TI 5.18","Oxen threshing grain","Horace Knowles","The British & Foreign Bible Society 1954, 1967, 1972, 1995","hk00096.png",
"hk00097","JDG 6.11, MAT 3.12, LUK 3.17","Winnowing grain","Horace Knowles","The British & Foreign Bible Society 1954, 1967, 1972, 1995","hk00097.png",
"hk00099","JHN 12.24, 1CO 15.36-38","Heads of wheat","Horace Knowles","The British & Foreign Bible Society 1954, 1967, 1972, 1995","hk00099.png",
"hk00100","JHN 12.24, GEN 8.22, GEN 37.7, EXO 34.22, LEV 23.9-10, LEV 23.22, RUT 2, MAT 9.37-38, MAT 13.24-30, LUK 10.2","Grain sheaves","Horace Knowles","The British & Foreign Bible Society 1954, 1967, 1972, 1995","hk00100.png",
"hk00105","LUK 20.9-19, ISA 5.1-7, MAT 21.33-46, MRK 12.1-12","Vineyard watchtower","Horace Knowles","The British & Foreign Bible Society 1954, 1967, 1972, 1995","hk00105.png",
"hk00108","MAT 120.1-16","Vineyard entrance ","Horace Knowles","The British & Foreign Bible Society 1954, 1967, 1972, 1995","hk00108.png",
"hk00109","MAT 7.16, LUK 6.44","Grape and vine branch","Horace Knowles","The British & Foreign Bible Society 1954, 1967, 1972, 1995","hk00109.png",
"hk00110","JHN 15.1-10`","Grape and vine","Horace Knowles","The British & Foreign Bible Society 1954, 1967, 1972, 1995","hk00110.png",
"hk00111","MAT 7.16, LUK 6.44","Grapes on vine branch ","Horace Knowles","The British & Foreign Bible Society 1954, 1967, 1972, 1995","hk00111.png",
"hk00112","JHN 15.1-10","Grape and vine trellis","Horace Knowles","The British & Foreign Bible Society 1954, 1967, 1972, 1995","hk00112.png",
"hk00113","MAT 11.7, MAT 12.20, LUK 7.24","Reeds","Horace Knowles","The British & Foreign Bible Society 1954, 1967, 1972, 1995","hk00113.png",
"hk00114","JHN 19.29, EXO 12.22, PSA 51.7, LEV 14.4, NUM 19.6, 1KI 4.38, HEB 9.19","Hyssop ","Horace Knowles","The British & Foreign Bible Society 1954, 1967, 1972, 1995","hk00114.png",
"hk00115","SNG 3.6, SNG 4.14, MAT 2.11","Frankincense branch ","Horace Knowles","The British & Foreign Bible Society 1954, 1967, 1972, 1995","hk00115.png",
"hk00117","JHN 12.3, MAT 26.7, MRK 14.3","Spikenard or nard and jars","Horace Knowles","The British & Foreign Bible Society 1954, 1967, 1972, 1995","hk00117.png",
"hk00118","JHN 19.39, SNG 3.6, SNG 4.6, MAT 2.11, MRK 15.23","Myrrh brush","Horace Knowles","The British & Foreign Bible Society 1954, 1967, 1972, 1995","hk00118.png",
"hk00122","GEN 3.18, MAT 7.16, MAT 13.7, MRK 4.7, LUK 6.44, LUK 8.7, HEB 6.8","Briers","Horace Knowles","The British & Foreign Bible Society 1954, 1967, 1972, 1995","hk00122.png",
"hk00126","2CH 3, ISA 28.16-17, AMO 7.7-9","Hand holding plumbline","Horace Knowles","The British & Foreign Bible Society 1954, 1967, 1972, 1995","hk00126.png",
"hk00127","JOS 9.12, 2CH 2, ISA 44.13-20","Cutting and hauling logs, pulling cart","Horace Knowles","The British & Foreign Bible Society 1954, 1967, 1972, 1995","hk00127.png",
"hk00128","MAT 1.18, MAT 2.23, MAT 13.55, MRK 6.3, LUK  2.4, LUK 2.39, LUK 2.51","Carpenter's shop ","Horace Knowles","The British & Foreign Bible Society 1954, 1967, 1972, 1995","hk00128.png",
"hk00129"," (no reference) ","Men caring stones","Horace Knowles","The British & Foreign Bible Society 1954, 1967, 1972, 1995","hk00129.png",
"hk00132","GEN 24, EXO 2.15","Well at Nazareth","Horace Knowles","The British & Foreign Bible Society 1954, 1967, 1972, 1995","hk00132.png",
"hk00137","general","Well and jar ","Horace Knowles","The British & Foreign Bible Society 1954, 1967, 1972, 1995","hk00137.png",
"hk00139","ISA 29.16, ISA 45.9, ISA 64.8","Pot in potter's hands","Horace Knowles","The British & Foreign Bible Society 1954, 1967, 1972, 1995","hk00139.png",
"hk00140","JER 18.1-4","Potter throwing a pots, wheel","Horace Knowles","The British & Foreign Bible Society 1954, 1967, 1972, 1995","hk00140.png",
"hk00141"," (no reference) ","Pots ","Horace Knowles","The British & Foreign Bible Society 1954, 1967, 1972, 1995","hk00141.png",
"hk00142","JHN 12.1-8, MAT 26.6-13, LUK 7.37","Alabaster jars","Horace Knowles","The British & Foreign Bible Society 1954, 1967, 1972, 1995","hk00142.png",
"hk00143","1KI 10.21, 2CH 9.20, MRK 7.4, MRK 14.3-9, ROM  9.19-21","Brass vessels and clay pots","Horace Knowles","The British & Foreign Bible Society 1954, 1967, 1972, 1995","hk00143.png",
"hk00144","2KI 24.13, 2CH 36.10, MAT 6.19, MRK 10.21, LUK 12.33","Treasures ","Horace Knowles","The British & Foreign Bible Society 1954, 1967, 1972, 1995","hk00144.png",
"hk00146","DEU 24.6, MAT 18.6, MRK 9.42, LUK 17.2","Millstones ","Horace Knowles","The British & Foreign Bible Society 1954, 1967, 1972, 1995","hk00146.png",
"hk00149","general","Empty and unlit lamps ","Horace Knowles","The British & Foreign Bible Society 1954, 1967, 1972, 1995","hk00149.png",
"hk00150","DEU 17.18, DEU 31.26, 2KI 22.8, 2CH 34.15, LUK 4.16-20","Scroll","Horace Knowles","The British & Foreign Bible Society 1954, 1967, 1972, 1995","hk00150.png",
"hk00151","JHN 12.35, JHN 12.46, PSA 119.105, MAT 4.16, LUK 15.8, EPH 5.8, 1JN 1","Lamp at night","Horace Knowles","The British & Foreign Bible Society 1954, 1967, 1972, 1995","hk00151.png",
"hk00152","MAT 5.15, MRK 4.21, LUK 8.16, LUK 11.33","Lamp on bushel","Horace Knowles","The British & Foreign Bible Society 1954, 1967, 1972, 1995","hk00152.png",
"hk00153","EXO 17.14, EXO 24.7, 1SA 10.25, EST 1.19, DAN 6.9, 2TI 4.13","Scrolls,pen,and inkwell","Horace Knowles","The British & Foreign Bible Society 1954, 1967, 1972, 1995","hk00153.png",
"hk00155","MAT 14.13-21, MRK 6.30-44, LUK 9.10-17","Five loaves and two fish","Horace Knowles","The British & Foreign Bible Society 1954, 1967, 1972, 1995","hk00155.png",
"hk00156","LEV 19.36","Scales ","Horace Knowles","The British & Foreign Bible Society 1954, 1967, 1972, 1995","hk00156.png",
"hk00159","GEN 41.42, EST 3, EST 8, JER 22.24, DAN 6.17, LUK 15.22","Ring on hand","Horace Knowles","The British & Foreign Bible Society 1954, 1967, 1972, 1995","hk00159.png",
"hk00163","LUK 19.11-28, MAT 18.24, MAT 25.14-28","Jewish and Roman coins","Horace Knowles","The British & Foreign Bible Society 1954, 1967, 1972, 1995","hk00163.png",
"hk00164","EXO 30.13-16, 2KI 7, MAT 10.9, MAT 17.24-27, MRK 6.8, LUK 9.3","Jewish shekels and half-shekels ","Horace Knowles","The British & Foreign Bible Society 1954, 1967, 1972, 1995","hk00164.png",
"hk00165","MAT 10.29, LUK 12.6","Farthing ","Horace Knowles","The British & Foreign Bible Society 1954, 1967, 1972, 1995","hk00165.png",
"hk00166","LUK 20.20-26, MAT 20.2-13, MAT 22.15-22, MRK 12.13-17, LUK 10.35, LUK 15.8","Faces of silver Romans denarius","Horace Knowles","The British & Foreign Bible Society 1954, 1967, 1972, 1995","hk00166.png",
"hk00167","LUK 21.2, MRK 12.42","Faces of a Jewish mite","Horace Knowles","The British & Foreign Bible Society 1954, 1967, 1972, 1995","hk00167.png",
"hk00168","MAT 5.44, MAT 6.9, MAT 25.15-28","Talents ","Horace Knowles","The British & Foreign Bible Society 1954, 1967, 1972, 1995","hk00168.png",
"hk00169","MAT 13.45, gospels in general ","Market scene ","Horace Knowles","The British & Foreign Bible Society 1954, 1967, 1972, 1995","hk00169.png",
"hk00170","MAT 28.15, 1TI 6.10","Money spilling out of purse,scroll and pen, inkwell ","Horace Knowles","The British & Foreign Bible Society 1954, 1967, 1972, 1995","hk00170.png",
"hk00172","JAS 4.13","Merchant customer and wares ","Horace Knowles","The British & Foreign Bible Society 1954, 1967, 1972, 1995","hk00172.png",
"hk00188","LEV 25.9, JOS 6.4-20, 1KI 1.34, 1KI 1.39, 2KI 9.13, 1CH 15.28, 2CH 15.14, PSA 47.5","Ram's horns, musical instrument ","Horace Knowles","The British & Foreign Bible Society 1954, 1967, 1972, 1995","hk00188.png",
"hk00190","NUM 10.1-10, JOS 6","Man blowing trupet, musical instrument ","Horace Knowles","The British & Foreign Bible Society 1954, 1967, 1972, 1995","hk00190.png",
"hk00191","EXO 14.9, DEU 11.4, DEU 20.1, JOS 11.4, 2SA 15.1, 1KI 10.28, 1KI 20.1, 2KI 6.14, PSA 20.7, ISA 31.1, ISA 43.17, JER 46.9, EZK 26.7, EZK 38.4, NAM 3.2","Horses and chariots in battle","Horace Knowles","The British & Foreign Bible Society 1954, 1967, 1972, 1995","hk00191.png",
"hk00192","1SA 31.3, 1CH 10.3","Archers","Horace Knowles","The British & Foreign Bible Society 1954, 1967, 1972, 1995","hk00192.png",
"hk00193","MAT 8.5-13, MAT 27.54, MRK 15.39, LUK 7.1-10","Roman centurion ","Horace Knowles","The British & Foreign Bible Society 1954, 1967, 1972, 1995","hk00193.png",
"hk00194","1KI 14.27-28, 2KI 11.11, 2CH 12.10-11, 2CH 23.7","OT soldier ","Horace Knowles","The British & Foreign Bible Society 1954, 1967, 1972, 1995","hk00194.png",
"hk00195","JHN 12.20","Jerusalem street","Horace Knowles","The British & Foreign Bible Society 1954, 1967, 1972, 1995","hk00195.png",
"hk00197","JHN 19.23, MAT 27.27, MRK 15.16","Roman soldiers ","Horace Knowles","The British & Foreign Bible Society 1954, 1967, 1972, 1995","hk00197.png",
"hk00199","OT in General","Weapons ","Horace Knowles","The British & Foreign Bible Society 1954, 1967, 1972, 1995","hk00199.png",
"hk00200","JHN 19.34, NUM 25.7-8, JOS 8.18, 1SA 18.11, 1SA 19.10","Spear","Horace Knowles","The British & Foreign Bible Society 1954, 1967, 1972, 1995","hk00200.png",
"hk00203","GEN 39.19-20, ACT 20.23, HEB 11.36","Prison chains and wall","Horace Knowles","The British & Foreign Bible Society 1954, 1967, 1972, 1995","hk00203.png",
"hk00204","GEN 39.19-20, ACT 20.23, HEB 11.36","Prison chains and wall","Horace Knowles","The British & Foreign Bible Society 1954, 1967, 1972, 1995","hk00204.png",
"hk00205","GEN 1.20, LEV 11.9","Various fish swimming","Horace Knowles","The British & Foreign Bible Society 1954, 1967, 1972, 1995","hk00205.png",
"hk00206","MAT 4.18-22, MRK 1.16-20, LUK 5.1-11","Hands holding fishing net, boat on lake in background ","Horace Knowles","The British & Foreign Bible Society 1954, 1967, 1972, 1995","hk00206.png",
"hk00207","JHN 21.3-6, LUK 5.2","Fisherman pulling up net,boat","Horace Knowles","The British & Foreign Bible Society 1954, 1967, 1972, 1995","hk00207.png",
"hk00208","MAT 4.18-22, MRK 1.16-20, LUK 5.1-11","Fishermen in boat with furled sail ","Horace Knowles","The British & Foreign Bible Society 1954, 1967, 1972, 1995","hk00208.png",
"hk00214","general","Ship in port and traders  ","Horace Knowles","The British & Foreign Bible Society 1954, 1967, 1972, 1995","hk00214.png",
"hk00215","DEU 28.68, 1KI 10.22, 2CH 9.21, JON 1, ACT 20.13-16, ACT 21.16, ACT 28.11, JAS 3.4","Ship at sea showing rudder","Horace Knowles","The British & Foreign Bible Society 1954, 1967, 1972, 1995","hk00215.png",
"hk00216","DEU 28.68, 1KI 10.22, 2CH 9.21, JON 1, ACT 20.13-16, ACT 21.16, ACT 28.11, JAS 3.4","Ship at sea showing rudder ( close up )","Horace Knowles","The British & Foreign Bible Society 1954, 1967, 1972, 1995","hk00216.png",
"hk00220","GEN 13.18, GEN 18.1, GEN 26.17, EXO 13.20, EXO 16.27, EXO 19.2","Camp with altar and well ","Horace Knowles","The British & Foreign Bible Society 1954, 1967, 1972, 1995","hk00220.png",
"hk00221","GEN 13.18, GEN 18.1, GEN 26.17, EXO 13.20, EXO 16.27, EXO 19.2","Camp beside stream with palms","Horace Knowles","The British & Foreign Bible Society 1954, 1967, 1972, 1995","hk00221.png",
"hk00222"," (no reference) ","Ship at sea showing rudder","Horace Knowles","The British & Foreign Bible Society 1954, 1967, 1972, 1995","hk00222.png",
"hk00223","GEN 13.18, GEN 18.1, GEN 26.17, EXO 13.20, EXO 16.27, EXO 19.2","Camp and Mountain","Horace Knowles","The British & Foreign Bible Society 1954, 1967, 1972, 1995","hk00223.png",
"hk00224","MAT 5.44, MAT 6.9","Gateway and people in Babylon ","Horace Knowles","The British & Foreign Bible Society 1954, 1967, 1972, 1995","hk00224.png",
"hk00225","JON , MAT 12.41, LUK 11.30","Buildings and people in Nineveh ","Horace Knowles","The British & Foreign Bible Society 1954, 1967, 1972, 1995","hk00225.png",
"hk00226","NEH 1.1, EST 1.2","Palace of Susa","Horace Knowles","The British & Foreign Bible Society 1954, 1967, 1972, 1995","hk00226.png",
"hk00227","2SA 18.24, 2KI 9.17","OT soldier on walls at night","Horace Knowles","The British & Foreign Bible Society 1954, 1967, 1972, 1995","hk00227.png",
"hk00228","2SA 18.24, 2KI 9.17","Watchman (not soldier) on walls","Horace Knowles","The British & Foreign Bible Society 1954, 1967, 1972, 1995","hk00228.png",
"hk00229","general","Doorway of house ","Horace Knowles","The British & Foreign Bible Society 1954, 1967, 1972, 1995","hk00229.png",
"hk00230","EXO 12.7, EXO 12.22-23","Doorpost and lintel","Horace Knowles","The British & Foreign Bible Society 1954, 1967, 1972, 1995","hk00230.png",
